,Target User,Compound Score,Positive Score,Negative Score,Neutral Score,Date & Time
79,BBC,0.0,0.0,0.0,1.0,2018-09-26 20:03:06+00:00
80,BBC,0.0,0.0,0.0,1.0,2018-09-26 19:07:05+00:00
81,BBC,0.0,0.0,0.0,1.0,2018-09-26 16:02:05+00:00
82,BBC,0.659,0.403,0.0,0.597,2018-09-26 15:03:05+00:00
83,BBC,-0.25,0.0,0.083,0.917,2018-09-26 14:04:00+00:00
84,BBC,0.0,0.0,0.0,1.0,2018-09-26 14:03:03+00:00
85,BBC,-0.1027,0.181,0.229,0.59,2018-09-26 13:04:06+00:00
86,BBC,0.0,0.0,0.0,1.0,2018-09-26 12:32:03+00:00
87,BBC,0.0,0.0,0.0,1.0,2018-09-26 12:30:08+00:00
88,BBC,0.0,0.0,0.0,1.0,2018-09-26 11:02:01+00:00
89,BBC,0.3182,0.126,0.0,0.874,2018-09-26 10:46:44+00:00
90,BBC,0.0,0.0,0.0,1.0,2018-09-26 10:04:04+00:00
91,BBC,0.0,0.0,0.0,1.0,2018-09-26 09:53:51+00:00
92,BBC,0.0,0.0,0.0,1.0,2018-09-26 09:04:04+00:00
93,BBC,0.4767,0.353,0.168,0.479,2018-09-26 08:04:03+00:00
94,BBC,0.0,0.0,0.0,1.0,2018-09-26 07:31:04+00:00
95,BBC,0.0,0.0,0.0,1.0,2018-09-26 07:02:07+00:00
96,BBC,0.296,0.145,0.0,0.855,2018-09-25 20:03:05+00:00
97,BBC,0.4019,0.137,0.0,0.863,2018-09-25 19:03:06+00:00
98,BBC,0.0,0.0,0.0,1.0,2018-09-25 16:32:49+00:00
99,BBC,0.6114,0.285,0.0,0.715,2018-09-25 16:02:03+00:00
100,CBS,0.0,0.0,0.0,1.0,2018-10-01 21:56:03+00:00
101,CBS,0.296,0.136,0.0,0.864,2018-10-01 16:33:11+00:00
102,CBS,-0.2263,0.0,0.091,0.909,2018-09-30 23:51:26+00:00
103,CBS,0.6124,0.19,0.0,0.81,2018-09-30 17:00:00+00:00
104,CBS,0.0,0.0,0.0,1.0,2018-09-30 14:34:18+00:00
105,CBS,0.0,0.0,0.0,1.0,2018-09-28 22:22:01+00:00
106,CBS,0.0,0.0,0.0,1.0,2018-09-28 20:16:14+00:00
107,CBS,0.0,0.0,0.0,1.0,2018-09-28 17:52:41+00:00
108,CBS,0.0,0.0,0.0,1.0,2018-09-28 16:51:50+00:00
109,CBS,0.0,0.0,0.0,1.0,2018-09-27 20:19:18+00:00
110,CBS,0.0,0.0,0.0,1.0,2018-09-27 20:01:53+00:00
111,CBS,0.0,0.0,0.0,1.0,2018-09-27 17:19:16+00:00
112,CBS,-0.34,0.169,0.25,0.581,2018-09-27 16:58:08+00:00
113,CBS,0.0,0.0,0.0,1.0,2018-09-27 00:44:13+00:00
114,CBS,0.0,0.0,0.0,1.0,2018-09-27 00:42:15+00:00
115,CBS,0.1139,0.071,0.0,0.929,2018-09-26 21:49:27+00:00
116,CBS,0.6249,0.221,0.0,0.779,2018-09-26 19:57:54+00:00
117,CBS,0.0,0.0,0.0,1.0,2018-09-26 17:25:43+00:00
118,CBS,-0.2714,0.098,0.138,0.764,2018-09-25 21:10:56+00:00
119,CBS,-0.2263,0.0,0.091,0.909,2018-09-25 20:31:45+00:00
120,CBS,0.0,0.0,0.0,1.0,2018-09-25 19:54:26+00:00
121,CBS,0.7901,0.291,0.0,0.709,2018-09-25 19:45:33+00:00
122,CBS,0.0,0.0,0.0,1.0,2018-09-25 18:34:26+00:00
123,CBS,0.0,0.0,0.0,1.0,2018-09-25 18:05:31+00:00
124,CBS,0.0,0.0,0.0,1.0,2018-09-24 18:56:15+00:00
125,CBS,-0.2263,0.0,0.087,0.913,2018-09-23 23:24:03+00:00
126,CBS,0.0,0.0,0.0,1.0,2018-09-23 14:00:00+00:00
127,CBS,0.296,0.144,0.098,0.758,2018-09-21 19:18:00+00:00
128,CBS,-0.1531,0.123,0.162,0.714,2018-09-21 17:46:26+00:00
129,CBS,0.296,0.109,0.0,0.891,2018-09-20 23:17:19+00:00
130,CBS,0.7896,0.212,0.0,0.788,2018-09-20 21:38:21+00:00
131,CBS,0.0,0.0,0.0,1.0,2018-09-20 16:47:26+00:00
132,CBS,-0.0531,0.176,0.236,0.588,2018-09-19 19:07:37+00:00
133,CBS,0.6486,0.209,0.0,0.791,2018-09-18 17:04:20+00:00
134,CBS,0.9642,0.527,0.0,0.473,2018-09-17 22:01:52+00:00
135,CBS,0.0,0.0,0.0,1.0,2018-09-17 21:41:20+00:00
136,CBS,0.3612,0.263,0.0,0.737,2018-09-17 19:18:37+00:00
137,CBS,-0.2263,0.0,0.091,0.909,2018-09-16 23:48:59+00:00
138,CBS,0.0,0.0,0.0,1.0,2018-09-16 14:33:46+00:00
139,CBS,-0.4322,0.07,0.159,0.771,2018-09-15 16:00:01+00:00
140,CBS,-0.2481,0.17,0.233,0.598,2018-09-14 18:22:59+00:00
141,CBS,0.0,0.0,0.0,1.0,2018-09-13 20:52:06+00:00
142,CBS,0.0,0.0,0.0,1.0,2018-09-13 20:28:06+00:00
143,CBS,0.4753,0.218,0.083,0.699,2018-09-13 18:06:49+00:00
144,CBS,0.0,0.0,0.0,1.0,2018-09-10 17:06:16+00:00
145,CBS,-0.2263,0.0,0.083,0.917,2018-09-09 23:36:09+00:00
146,CBS,0.6705,0.256,0.0,0.744,2018-09-09 14:00:00+00:00
147,CBS,0.4215,0.149,0.0,0.851,2018-09-08 16:20:43+00:00
148,CBS,0.0,0.0,0.0,1.0,2018-09-08 00:00:00+00:00
149,CBS,-0.5411,0.092,0.196,0.712,2018-09-07 23:15:09+00:00
150,CBS,0.0,0.0,0.0,1.0,2018-09-07 21:50:51+00:00
151,CBS,-0.296,0.0,0.121,0.879,2018-09-06 22:10:49+00:00
152,CBS,0.4753,0.192,0.0,0.808,2018-09-06 19:00:01+00:00
153,CBS,0.0,0.0,0.0,1.0,2018-09-05 21:00:00+00:00
154,CBS,0.3612,0.111,0.0,0.889,2018-09-05 17:32:40+00:00
155,CBS,0.6908,0.533,0.0,0.467,2018-09-05 16:48:09+00:00
156,CBS,0.4215,0.135,0.0,0.865,2018-09-04 20:34:26+00:00
157,CBS,0.6514,0.171,0.0,0.829,2018-09-01 15:25:34+00:00
158,CBS,0.0,0.0,0.0,1.0,2018-08-31 21:26:49+00:00
159,CBS,0.0,0.0,0.0,1.0,2018-08-31 18:01:01+00:00
160,CBS,-0.6908,0.0,0.239,0.761,2018-08-30 19:45:51+00:00
161,CBS,0.6239,0.17,0.0,0.83,2018-08-30 15:32:47+00:00
162,CBS,0.0,0.0,0.0,1.0,2018-08-27 23:36:57+00:00
163,CBS,-0.4389,0.0,0.112,0.888,2018-08-24 20:30:16+00:00
164,CBS,0.0,0.0,0.0,1.0,2018-08-22 20:55:25+00:00
165,CBS,0.0,0.0,0.0,1.0,2018-08-22 20:10:12+00:00
166,CBS,0.5423,0.171,0.0,0.829,2018-08-20 21:59:56+00:00
167,CBS,0.3182,0.113,0.0,0.887,2018-08-17 17:42:02+00:00
168,CBS,0.0,0.0,0.0,1.0,2018-08-16 18:40:09+00:00
169,CBS,-0.5267,0.092,0.188,0.72,2018-08-16 00:09:03+00:00
170,CBS,0.0,0.0,0.0,1.0,2018-08-12 23:30:02+00:00
171,CBS,0.4389,0.126,0.0,0.874,2018-08-12 15:04:59+00:00
172,CBS,-0.3182,0.0,0.103,0.897,2018-08-11 18:00:00+00:00
173,CBS,0.4926,0.144,0.0,0.856,2018-08-11 15:00:02+00:00
174,CBS,0.8957,0.419,0.0,0.581,2018-08-10 22:28:55+00:00
175,CBS,0.0,0.0,0.0,1.0,2018-08-10 19:59:14+00:00
176,CBS,0.6696,0.255,0.0,0.745,2018-08-09 21:00:00+00:00
177,CBS,0.7901,0.28,0.0,0.72,2018-08-09 18:47:00+00:00
178,CBS,0.6696,0.209,0.0,0.791,2018-08-08 16:05:11+00:00
179,CBS,0.0,0.0,0.0,1.0,2018-08-07 16:06:57+00:00
180,CBS,0.3612,0.111,0.0,0.889,2018-08-06 00:20:55+00:00
181,CBS,0.7424,0.3,0.082,0.617,2018-08-06 00:07:38+00:00
182,CBS,0.3818,0.106,0.0,0.894,2018-08-06 00:02:58+00:00
183,CBS,0.5093,0.141,0.0,0.859,2018-08-06 00:02:02+00:00
184,CBS,0.0,0.0,0.0,1.0,2018-08-05 23:58:41+00:00
185,CBS,0.8316,0.306,0.0,0.694,2018-08-05 23:44:39+00:00
186,CBS,0.0,0.0,0.0,1.0,2018-08-05 23:41:21+00:00
187,CBS,0.5994,0.157,0.0,0.843,2018-08-05 23:35:49+00:00
188,CBS,0.0,0.0,0.0,1.0,2018-08-05 23:35:46+00:00
189,CBS,0.5826,0.173,0.0,0.827,2018-08-05 23:16:25+00:00
190,CBS,-0.5093,0.0,0.202,0.798,2018-08-05 23:12:39+00:00
